JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2435754.5625,2.1,,,Vis.,G23,,,,,,,,V,,,,ALF UMI,,STD,,,,
2447940.6840,2.3,,,Vis.,HUZ,K,,,,,,,V,,,,ALF UMI,,STD,,,,
2447941.7188,2.2,,,Vis.,HUZ,K,,,,,,,V,,,,ALF UMI,,STD,,,,
2447942.6771,2.2,,,Vis.,HUZ,K,,,,,,,V,,,,ALF UMI,,STD,,,,
2450303.5833,1.8,,,Vis.,GCP,Y,,,,,,,V,,,,ALF UMI,,STD,,,,
2450462.4792,2.0,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2450485.3368,2.1,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2450495.6806,1.9,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2450500.4340,1.9,,,Vis.,GCP,M,,,,,,,V,,,,ALF UMI,,STD,,,,
2450509.5139,2.0,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2450587.4653,2.0,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2450705.3438,1.9,,,Vis.,GCP,M,,,,,,,V,,,,ALF UMI,,STD,,,,
2451349.5556,1.8,,,Vis.,GCP,Y,,,,,,,V,,,,ALF UMI,,STD,,,,
2451355.5417,1.7,,,Vis.,GCP,MY,,,,,,,V,,,,ALF UMI,,STD,,,,
2451436.6146,1.6,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2451465.4347,1.6,,,Vis.,GCP,,,,,,,,V,,,,ALF UMI,,STD,,,,
2451497.6528,2.0,,,Vis.,GCP,S,,,,,,,V,,,,ALF UMI,,STD,,,,
